node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type
10034912,"BLAIRMORE HOLDINGS, INC.","BLAIRMORE HOLDINGS, INC.",,PMA,Panama,,SG HAMBROS BANK & TRUST (BAHAMAS) LIMITED PO BOX N-7785; LYFORD CAY HOUSE NASSAU; BAHAMAS,2541,04-MAY-1982,,,,Active,Mossack Fonseca,93,BHS,Bahamas,Panama Papers,The Panama Papers data is current through 2015,,company
10063744,DUNEDIN ESTATES OVERSEAS LIMITED,DUNEDIN ESTATES OVERSEAS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,517241,09-APR-1996,,,,Active,Mossack Fonseca,182002,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10063908,AL NISR LIMITED,AL NISR LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,517738,29-MAY-1996,01-NOV-2005,31-OCT-2005,,Defaulted,Mossack Fonseca,186857,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10064597,FOREFRONT INTERNATIONAL LIMITED,FOREFRONT INTERNATIONAL LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,511309,29-JUN-1994,,,,Active,Mossack Fonseca,121799,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10066739,WOODGATE HOLDINGS LIMITED,WOODGATE HOLDINGS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,519534,30-OCT-1996,06-MAY-2014,30-APR-2014,,Defaulted,Mossack Fonseca,204233,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10066743,ENGIZON INCORPORATED,ENGIZON INCORPORATED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,515417,10-OCT-1995,02-MAY-2007,30-APR-2007,,Defaulted,Mossack Fonseca,162870,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10070798,Z & R MANAGEMENT LIMITED,Z & R MANAGEMENT LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,518460,01-AUG-1996,,,,Active,Mossack Fonseca,194385,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10075780,EBONY FINANCIAL CORP.,EBONY FINANCIAL CORP.,,BVI,British Virgin Islands,,MINERVA TRUST COMPANY (SWITZERLAND) S.A. 6; PLACE DES EAUX-VIVES  1207; GENEVA SWITZERLAND,530517,03-OCT-1997,,,,Active,Mossack Fonseca,251377,CHE,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,company
10078501,LORN CORPORATION,LORN CORPORATION,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,531046,18-MAY-1999,14-AUG-2015,31-OCT-2016,,Changed agent,Mossack Fonseca,325347,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10081904,AL-EX SERVICES LIMITED,AL-EX SERVICES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,504069,13-SEP-1991,24-OCT-2012,30-APR-2013,,Defaulted,Mossack Fonseca,49581,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10082649,KINGSLAND HOMES S.A.,KINGSLAND HOMES S.A.,,BVI,British Virgin Islands,,ISTHMUS PRIVATE CLIENTS S.A. 50TH AND 54TH EAST STREET MOSSFON BUILDING; THIRD FLOOR; OFFICE #2 MARBELLA PANAMA,527047,19-JUN-1998,11-MAR-2010,31-OCT-2010,,Defaulted,Mossack Fonseca,283684,PAN,Panama,Panama Papers,The Panama Papers data is current through 2015,,company
10082734,TV VISION LIMITED,TV VISION LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,528607,10-NOV-1998,02-MAY-2008,30-APR-2008,,Defaulted,Mossack Fonseca,300329,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10086312,HOSPITALITY INTERNATIONAL COMPANY LIMITED,HOSPITALITY INTERNATIONAL COMPANY LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,542578,24-APR-2001,22-FEB-2010,31-OCT-2010,,Dissolved,Mossack Fonseca,441763,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10086579,BOSCA S.A.,BOSCA S.A.,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,534285,04-JAN-2000,01-NOV-2005,31-OCT-2005,,Defaulted,Mossack Fonseca,359202,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10088728,KANKU FINANCE LIMITED,KANKU FINANCE LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541829,22-OCT-1998,,,,Active,Mossack Fonseca,298114,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10089022,ZEEKA LIMITED,ZEEKA LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541342,07-FEB-2001,01-NOV-2006,31-OCT-2006,,Defaulted,Mossack Fonseca,430933,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
