source_id,source_type,target_id,target_type,relationship,link,status,start_date,end_date,source_leak
10034912,company,addr_900000000,address,registered_at,derived_from_inline_address,,,,Panama Papers
10063744,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10063908,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10064597,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10066739,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10066743,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10070798,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10075780,company,addr_900000002,address,registered_at,derived_from_inline_address,,,,Panama Papers
10078501,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10081904,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10082649,company,addr_900000003,address,registered_at,derived_from_inline_address,,,,Panama Papers
10082734,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10086312,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10086579,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10088728,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10089022,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10089278,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10089408,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10090075,company,addr_900000004,address,registered_at,derived_from_inline_address,,,,Panama Papers
10090096,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10090180,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10090393,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10091516,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10091540,company,addr_900000005,address,registered_at,derived_from_inline_address,,,,Panama Papers
10091842,company,addr_900000006,address,registered_at,derived_from_inline_address,,,,Panama Papers
10091952,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10092104,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10092106,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10093307,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10093473,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10093486,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10093494,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10093510,company,addr_900000007,address,registered_at,derived_from_inline_address,,,,Panama Papers
10094056,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10094885,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10096072,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10096949,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10097498,company,addr_900000008,address,registered_at,derived_from_inline_address,,,,Panama Papers
10097641,company,addr_900000004,address,registered_at,derived_from_inline_address,,,,Panama Papers
10098284,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10099063,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10099709,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10099889,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10100117,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10100193,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10100765,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10101194,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10101693,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10101865,company,addr_900000009,address,registered_at,derived_from_inline_address,,,,Panama Papers
10102266,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10103058,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10103317,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10104202,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10104962,company,addr_900000010,address,registered_at,derived_from_inline_address,,,,Panama Papers
10104967,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10105412,company,addr_900000011,address,registered_at,derived_from_inline_address,,,,Panama Papers
10105624,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10105785,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10106155,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10106473,company,addr_900000010,address,registered_at,derived_from_inline_address,,,,Panama Papers
10107216,company,addr_900000011,address,registered_at,derived_from_inline_address,,,,Panama Papers
10108611,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10108842,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10108855,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10110764,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10110970,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10111326,company,addr_900000012,address,registered_at,derived_from_inline_address,,,,Panama Papers
10112338,company,addr_900000004,address,registered_at,derived_from_inline_address,,,,Panama Papers
10112944,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10114012,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10114150,company,addr_900000013,address,registered_at,derived_from_inline_address,,,,Panama Papers
10114521,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10116732,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10117137,company,addr_900000014,address,registered_at,derived_from_inline_address,,,,Panama Papers
10117089,company,addr_900000015,address,registered_at,derived_from_inline_address,,,,Panama Papers
10117486,company,addr_900000009,address,registered_at,derived_from_inline_address,,,,Panama Papers
10155456,company,addr_900000016,address,registered_at,derived_from_inline_address,,,,Panama Papers
10120492,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10120598,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10121634,company,addr_900000002,address,registered_at,derived_from_inline_address,,,,Panama Papers
10122953,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10124267,company,addr_900000009,address,registered_at,derived_from_inline_address,,,,Panama Papers
10124860,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10124904,company,addr_900000017,address,registered_at,derived_from_inline_address,,,,Panama Papers
10126084,company,addr_900000011,address,registered_at,derived_from_inline_address,,,,Panama Papers
10127477,company,addr_900000013,address,registered_at,derived_from_inline_address,,,,Panama Papers
10139061,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10148244,company,addr_900000004,address,registered_at,derived_from_inline_address,,,,Panama Papers
10169708,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10174136,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10175113,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10175155,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10175686,company,addr_900000018,address,registered_at,derived_from_inline_address,,,,Panama Papers
10175730,company,addr_900000009,address,registered_at,derived_from_inline_address,,,,Panama Papers
10177338,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10177398,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10178327,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10178871,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10179028,company,addr_900000019,address,registered_at,derived_from_inline_address,,,,Panama Papers
10179083,company,addr_900000020,address,registered_at,derived_from_inline_address,,,,Panama Papers
10179416,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10180417,company,addr_900000021,address,registered_at,derived_from_inline_address,,,,Panama Papers
10181424,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10181795,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10182411,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10182721,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10183256,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10185311,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10198707,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10198976,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10199125,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10199651,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200239,company,addr_900000010,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200324,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200751,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200759,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200971,company,addr_900000005,address,registered_at,derived_from_inline_address,,,,Panama Papers
10200986,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10201600,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10202418,company,addr_900000022,address,registered_at,derived_from_inline_address,,,,Panama Papers
10202503,company,addr_900000023,address,registered_at,derived_from_inline_address,,,,Panama Papers
10202592,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10202867,company,addr_900000005,address,registered_at,derived_from_inline_address,,,,Panama Papers
10203385,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10204408,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10204952,company,addr_900000024,address,registered_at,derived_from_inline_address,,,,Panama Papers
10205379,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10206129,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
10206223,company,addr_900000025,address,registered_at,derived_from_inline_address,,,,Panama Papers
10210092,company,addr_900000026,address,registered_at,derived_from_inline_address,,,,Panama Papers
10211538,company,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
11002578,intermediary,addr_900000016,address,registered_at,derived_from_inline_address,,,,Panama Papers
11003012,intermediary,addr_900000024,address,registered_at,derived_from_inline_address,,,,Panama Papers
11005663,intermediary,addr_900000027,address,registered_at,derived_from_inline_address,,,,Panama Papers
11011597,intermediary,addr_900000001,address,registered_at,derived_from_inline_address,,,,Panama Papers
11011717,intermediary,addr_900000000,address,registered_at,derived_from_inline_address,,,,Panama Papers
11011774,intermediary,addr_900000020,address,registered_at,derived_from_inline_address,,,,Panama Papers
11012290,intermediary,addr_900000026,address,registered_at,derived_from_inline_address,,,,Panama Papers
