regulation_id,section_id,section_number,title,paragraph_count,word_count
MAS-626,MAS-626-S1,1,INTRODUCTION,2,46
MAS-626,MAS-626-S2,2,DEFINITIONS,3,1477
MAS-626,MAS-626-S3,3,UNDERLYING PRINCIPLES,1,131
MAS-626,MAS-626-S4,4,ASSESSING RISKS AND APPLYING A RISK-BASED APPROACH,3,266
MAS-626,MAS-626-S5,5,"NEW PRODUCTS, PRACTICES AND TECHNOLOGIES",3,132
MAS-626,MAS-626-S6,6,CUSTOMER DUE DILIGENCE (“CDD”),58,4533
MAS-626,MAS-626-S7,7,SIMPLIFIED CUSTOMER DUE DILIGENCE,7,306
MAS-626,MAS-626-S8,8,ENHANCED CUSTOMER DUE DILIGENCE,9,1117
MAS-626,MAS-626-S9,9,RELIANCE ON THIRD PARTIES,5,541
MAS-626,MAS-626-S10,10,CORRESPONDENT BANKING,7,586
MAS-626,MAS-626-S11,11,WIRE TRANSFERS,17,3094
MAS-626,MAS-626-S12,12,RECORD KEEPING,6,410
MAS-626,MAS-626-S13,13,PERSONAL DATA,4,424
MAS-626,MAS-626-S14,14,SUSPICIOUS TRANSACTIONS REPORTING,5,352
MAS-626,MAS-626-S15,15,"INTERNAL POLICIES, COMPLIANCE, AUDIT AND TRAINING",17,1285
